n,device,wall_time_s,rel_error,Îº_estimate
256,gpu,0.6809279918670654,9.512797864843414e-16,384.500030692504
256,gpu,0.11151361465454102,8.722817158209177e-16,382.5350611943124
256,gpu,0.2000720500946045,9.98512249887148e-16,385.2185764953376
256,cpu,0.28356409072875977,6.444181563609427e-16,380.78452558854093
256,cpu,0.3135526180267334,6.227834336167245e-16,383.55256904294976
256,cpu,0.3015706539154053,5.944453177333942e-16,383.7351340237336
256,cpu,0.24503517150878906,6.217305994431881e-16,383.6900129218435
512,cpu,0.5566363334655762,6.697202371075346e-16,768.1754702356355
1024,cpu,1.5195260047912598,7.367228309477394e-16,1530.5093628529698
256,gpu,0.17405223846435547,8.888019783687514e-16,384.35409141183567
512,gpu,0.15137791633605957,1.1873724860460522e-15,768.1826925725468
1024,gpu,0.18774962425231934,1.1460184011604265e-15,1529.6872828004648
